SELECCIONAR,USERNAME,NOMBRE COMPLETO,CATEGORIA,POSTS ACTUALES,ACTIVO AHORA,ORIGEN
,"backlinko","","Brian Dean",0,"NO","Base de Datos"
,"randfish","","Rand Fishkin",0,"NO","Base de Datos"
,"marketingprofs","","Ann Handley",0,"NO","Base de Datos"
,"kimgarst","","Kim Garst",0,"NO","Base de Datos"
,"marismith","","Mari Smith",0,"NO","Base de Datos"
,"byrvm_contentcreation","","BYRVM Content",0,"NO","Base de Datos"
,"romanlohace","","Roman Lo Hace",0,"NO","Base de Datos"
,"madrerica.madrepobre","","Madre Rica Madre Pobre",0,"NO","Base de Datos"
,"classyfunnels","","Classy Funnels",0,"NO","Base de Datos"
,"sociallyybri","","Brianna",0,"NO","Base de Datos"
,"fedecaball","","Fede Caball",0,"NO","Base de Datos"
,"siempreganando_","","Siempre Ganando",0,"NO","Base de Datos"
,"magazineluiza","","Lu do Magalu",0,"NO","Base de Datos"
,"rocodelaportilla","","Roco de la Portilla",0,"NO","Base de Datos"
,"blawko22","","Blawko",0,"NO","Base de Datos"
,"miasantorinni","","Sin categoría",0,"NO","Base de Datos"
SI,"ganaconnay","","Gana con Nay",5,"SI","Base de Datos"
,"noonoouri","","Noonoouri",0,"NO","Base de Datos"
,"alrinconoficial","","Al Rincón Oficial",0,"NO","Base de Datos"
,"emprendeconcata","","Emprende con Cata",0,"NO","Base de Datos"
,"imma.gram","","Imma",0,"NO","Base de Datos"
,"marketingconalis","","Marketing con Alis",0,"NO","Base de Datos"
,"realqaiqai","","Qai Qai",0,"NO","Base de Datos"
,"converzzo","","Converzzo",0,"NO","Base de Datos"
,"leticiaguidine","","Leticia Guidine",0,"NO","Base de Datos"
,"stories","","Dili Prieto",0,"NO","Base de Datos"
,"pabloprompt","","Pablo Prompt",0,"NO","Base de Datos"
,"aitana.lopez.py","","Aitana Lopez",0,"NO","Base de Datos"
,"herasmedia","","Heras Media",0,"NO","Base de Datos"
,"shudu.gram","","Shudu",0,"NO","Base de Datos"
,"bermudaisbae","","Bermuda",0,"NO","Base de Datos"
,"sferro.ai","","SFerro AI",0,"NO","Base de Datos"
,"sebachirinos","","Seba Chirinos",0,"NO","Base de Datos"
,"lilmiquela","Lil Miquela","Influencer IA global",0,"NO","Ambas fuentes"
,"angelapa_ia","","Angela PA IA",0,"NO","Base de Datos"
,"maxmaxdata","","Max Data",0,"NO","Base de Datos"
,"iapartners","","IA Partners",0,"NO","Base de Datos"
,"el_hipster","","El Hipster",0,"NO","Base de Datos"
,"eldinosauriodigital","","El Dinosaurio Digital",0,"NO","Base de Datos"
,"garyvee","","Gary Vaynerchuk",0,"NO","Base de Datos"
,"neilpatel","","Neil Patel",0,"NO","Base de Datos"
,"@luisgomez_ai","Luis Gómez nNO","IA y automatización",0,"NO","Notion"
,"@danielmarote","Daniel Marote","IA, negocios, automatización",0,"NO","Notion"
,"@fit_aitana","Aitana López","Fitness, IA influencer",0,"NO","Notion"
,"@jordebedoya","Jorge Bedoya NON","IA, datos, crecimiento",0,"NO","Notion"
,"@juanmerodio","Juan Merodio","Marketing, ventas, IA",0,"NO","Notion"
,"@vilmanunez","Vilma Núñez","Marketing, embudos, ventas",0,"NO","Notion"
,"@community_gual","Paloma Gual","Crecimiento orgánico",0,"NO","Notion"
,"@romualdfons","Romuald Fons","SEO, viralidad, YouTube",0,"NO","Notion"
,"@itziaroltra","Itziar OltraNO","Marca personal, creatividad",0,"NO","Notion"
